Lvl,Exp
130,634
131,679
132,734
133,789
134,843
135,894
136,953
137,1006
138,1059
139,1120
140,1128
141,1133
142,1138
143,1144
144,1149
145,1154
146,1159
147,1165
148,1167
149,1173
150,1178
151,1181
152,1183
153,1186
154,1191
155,1197
156,1204
157,1215
158,1220
159,1226
160,1231
161,1239
162,1244
163,1250
164,1250
165,1252
166,1257
167,1263
168,1265
169,1271
170,1276
171,1281
172,1287
173,1295
174,1302
175,1308
176,1313
177,1318
178,1321
179,1326
180,1332
181,1337
182,1339
183,1342
184,1345
185,1347
186,1347
187,1347
188,1347
189,1347
190,1347
191,1347
192,1347
193,1347
194,1347
195,1347
196,1347
197,1347
198,1347
199,1347
200,1347
201,1347
202,1347
203,1347
204,1347
205,1347
206,1347
207,1347
208,1347
209,1347
210,1347
211,1347
212,1347
213,1347
214,1347
215,1347
216,1347
217,1347
218,1347
219,1347
220,1347
221,1347
222,1347
223,1347
224,1347
225,1347
226,1347
227,1347
228,1347
229,1347
