Lvl,Ore
130,16630
131,16795
132,16965
133,17130
134,17295
135,17460
136,17630
137,17795
138,17960
139,18125
140,18295
141,18460
142,18625
143,18790
144,18960
145,19125
146,19290
147,19455
148,19625
149,19790
150,19955
151,20120
152,20290
153,20455
154,20620
155,20790
156,20955
157,21120
158,21285
159,21455
160,21620
161,21785
162,21950
163,22120
164,22285
165,22450
166,22615
167,22785
168,22950
169,23115
170,23280
171,23450
172,23615
173,23780
174,23945
175,24115
176,24280
177,24445
178,24610
179,24780
180,24945
181,25110
182,25280
183,25445
184,25610
185,25775
186,25945
187,26110
188,26275
189,26440
190,26610
191,26775
192,26940
193,27105
194,27275
195,27440
196,27605
197,27770
198,27940
199,28105
200,28270
201,28435
202,28605
203,28770
204,28935
205,29105
206,29270
207,29435
208,29600
209,29770
210,29935
211,30100
212,30265
213,30435
214,30600
215,30765
216,30930
217,31100
218,31265
219,31430
220,31595
221,31765
222,31930
223,32095
224,32260
225,32430
226,32595
227,32760
228,32925
229,33095
230,33260
231,33425
232,33595
233,33760
234,33925
235,34090
236,34260
237,34425
238,34590
239,34755
240,34925
241,35090
242,35255
243,35420
244,35590
245,35755
246,35920
247,35920
248,36255
249,36420
250,36585
251,36750
252,36920
253,37085
254,37250
255,37420
256,37585
257,37750
258,37915
259,38080
